imdb_movie_Id,Rating,Director,Actor_list
110074,7.2,Joel CoenEthan Coen(uncredited),Tim Robbins
110097,5.6,James L. Brooks,Nick Nolte
110123,5,Daniel Petrie Jr.,Pauly Shore
107206,7.2,Wolfgang Petersen,Clint Eastwood
107207,8.1,Jim Sheridan,Daniel Day-Lewis
110137,6.4,Matty Rich,Larenz Tate
108551,7.3,Brian Gibson,Angela Bassett
110197,5.3,Barry Levinson,Joe Pesci
107286,6.6,Stephen Hopkins,Emilio Estevez
107290,8.1,Steven Spielberg,Sam Neill
107302,6.7,Dominic Sena,Brad Pitt
110265,6.5,Roger Avary,Eric Stoltz
110305,5.9,Daniel Petrie,Helen Slater
107362,6.4,John McTiernan,Arnold Schwarzenegger
107413,5.6,James Lapine,Michael J. Fox
110353,5.5,Simon Wincer,Paul Hogan
107468,6.8,David Cronenberg,Jeremy Irons
107478,5.1,Richard Benjamin,Whoopi Goldberg
107497,6.4,Harold Becker,Alec Baldwin
107501,6.7,Mel Gibson,Mel Gibson
107507,7.3,Woody Allen,Woody Allen
107554,7.5,Albert HughesAllen Hughes,Tyrin Turner
116253,6.4,Stuart Baird,Kurt Russell
74102,6.6,Nagisa Ôshima,Tatsuya Fuji
111689,7.2,Tom Noonan,Tom Noonan
107616,7.3,Kenneth Branagh,Kenneth Branagh
107613,5.9,Anthony Minghella,Matt Dillon
107614,7,Chris Columbus,Robin Williams
107653,7.8,Mike Leigh,David Thewlis
110657,4.5,Christopher Cain,Pat Morita
110678,6.1,Martin Campbell,Ray Liotta
110687,4.5,Rob Reiner,Elijah Wood
107756,7.2,Sally Potter,Tilda Swinton
107808,7.5,Clint Eastwood,Kevin Costner
107818,7.7,Jonathan Demme,Tom Hanks
107822,7.6,Jane Campion,Holly Hunter
107840,6.1,John Singleton,Janet Jackson
107889,6.5,David S. Ward,James Caan
111003,5.9,Stuart Orme,Donald Sutherland
110939,6.2,Mel Smith,Brian Benben
110955,6.9,Ted Demme,Denis Leary
107943,7.8,James Ivory,Anthony Hopkins
110971,6.2,Penny Marshall,Danny DeVito
107969,6.3,Philip Kaufman,Sean Connery
111001,5.9,Alan Parker,Anthony Hopkins
107978,4.1,Fred Dekker,Robert John Burke
107977,6.7,Mel Brooks,Cary Elwes
107983,6.6,Peter Medak,Gary Oldman
105275,6.8,Geoffrey Wright,Russell Crowe
108000,7,Victor Nunez,Ashley Judd
108002,7.5,David Anspaugh,Sean Astin
105032,7,Cyril Collard,Cyril Collard
108052,8.9,Steven Spielberg,Liam Neeson
111094,5.4,Michael Ritchie,Albert Brooks
108065,7.4,Steven Zaillian,Joe Mantegna
108071,7.3,Agnieszka Holland,Kate Maberly
111127,6.8,John Waters,Kathleen Turner
111143,6.1,Russell Mulcahy,Alec Baldwin
108101,7.3,Richard Attenborough,Anthony Hopkins
108122,7.7,Robert Altman,Andie MacDowell
111194,6.3,Gillies MacKinnon,Steve Martin
111201,5.9,John Duigan,Hugh Grant
108149,6.8,Fred Schepisi,Will Smith
108160,6.8,Nora Ephron,Tom Hanks
108162,5.1,Phillip Noyce,Sharon Stone
83658,8.1,Ridley Scott,Harrison Ford
108186,5.9,Steve Rash,Pauly Shore
108174,6.5,Thomas Schlamme,Mike Myers
108238,5.9,Rowdy Herrington,Bruce Willis
108255,4.1,Annabel JankelRocky Morton,Bob Hoskins
111323,6.2,Ernest R. Dickerson,Rutger Hauer
111400,5.5,Deran Sarafian,Charlie Sheen
108328,7.4,François Girard,Colm Feore
111418,6.3,Andrew Fleming,Lara Flynn Boyle
107688,8,Henry Selick,Danny Elfman
108333,6.4,Stephen Herek,Charlie Sheen
108358,7.8,George P. CosmatosKevin Jarre(Charlton Heston scenes),Kurt Russell
108399,7.9,Tony Scott,Christian Slater
108515,7.4,Chris HegedusD.A. Pennebaker,James Carville
110763,6.1,Pixote Hunt(animation director)Joe Johnston(live action sequences),Macaulay Culkin
114906,7.4,Todd Solondz,Heather Matarazzo
107002,7.1,Claude Berri,Renaud
109403,5.1,Dennis Hopper,Tom Berenger
