"기간","자치구","인구밀도"
2016,"중구",13494
2016,"용산구",11209
2016,"성동구",18218
2016,"광진구",21807
2016,"동대문구",26050
2016,"중랑구",22474
2016,"성북구",18781
2016,"강북구",14015
2016,"도봉구",16948
2016,"노원구",16119
2016,"은평구",16696
2016,"서대문구",18506
2016,"마포구",16394
2016,"양천구",27681
2016,"강서구",14531
2016,"구로구",22347
2016,"금천구",19560
2016,"영등포구",16583
2016,"동작구",25269
2016,"관악구",17776
2016,"서초구",9610
2016,"강남구",14484
2016,"송파구",19629
2016,"강동구",18238
2017,"종로구",6869
2017,"중구",13514
2017,"용산구",11179
2017,"성동구",18551
2017,"광진구",21819
2017,"동대문구",25748
2017,"중랑구",22318
2017,"성북구",18533
2017,"강북구",13898
2017,"도봉구",16752
2017,"노원구",15748
2017,"은평구",16534
2017,"서대문구",18440
2017,"마포구",16174
2017,"양천구",27289
2017,"강서구",14679
2017,"구로구",21946
2017,"금천구",19469
2017,"영등포구",16377
2017,"동작구",24978
2017,"관악구",17617
2017,"서초구",9480
2017,"강남구",14203
2017,"송파구",19813
2017,"강동구",17909
2018,"종로구",6817
2018,"중구",13618
2018,"용산구",11209
2018,"성동구",18771
2018,"광진구",21746
2018,"동대문구",25630
2018,"중랑구",22067
2018,"성북구",18218
2018,"강북구",13683
2018,"도봉구",16531
2018,"노원구",15468
2018,"은평구",16415
2018,"서대문구",18331
2018,"마포구",16199
2018,"양천구",26894
2018,"강서구",14567
2018,"구로구",21793
2018,"금천구",19510
2018,"영등포구",16441
2018,"동작구",25032
2018,"관악구",17587
2018,"서초구",9326
2018,"강남구",13859
2018,"송파구",19883
2018,"강동구",17564
2019,"종로구",6769
2019,"중구",13704
2019,"용산구",11213
2019,"성동구",18327
2019,"광진구",21507
2019,"동대문구",25537
2019,"중랑구",21736
2019,"성북구",18505
2019,"강북구",13462
2019,"도봉구",16245
2019,"노원구",15162
2019,"은평구",16308
2019,"서대문구",18335
2019,"마포구",16180
2019,"양천구",26559
2019,"강서구",14438
2019,"구로구",21837
2019,"금천구",19341
2019,"영등포구",16334
2019,"동작구",25003
2019,"관악구",17496
2019,"서초구",9261
2019,"강남구",13929
2019,"송파구",20156
2019,"강동구",17909
2020,"종로구",6649
2020,"중구",13517
2020,"용산구",11188
2020,"성동구",17822
2020,"광진구",21105
2020,"동대문구",25114
2020,"중랑구",21603
2020,"성북구",18190
2020,"강북구",13202
2020,"도봉구",15852
2020,"노원구",14872
2020,"은평구",16292
2020,"서대문구",18322
2020,"마포구",16011
2020,"양천구",26301
2020,"강서구",14140
2020,"구로구",21496
2020,"금천구",19035
2020,"영등포구",16595
2020,"동작구",24555
2020,"관악구",17241
2020,"서초구",9132
2020,"강남구",13773
2020,"송파구",19896
2020,"강동구",18869
