기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	서대문구	소계	325,028	155,250	169,778	49,266	20,776	28,490	48,898	20,600	28,298	368	176	192
2017	서대문구	천연동	19,365	9,288	10,077	3,082	1,181	1,901	3,075	1,179	1,896	7	2	5
2017	서대문구	홍제1동	24,422	11,530	12,892	4,034	1,689	2,345	4,016	1,679	2,337	18	10	8
2017	서대문구	홍제3동	17,201	8,323	8,878	3,236	1,351	1,885	3,231	1,350	1,881	5	1	4
2017	서대문구	홍제2동	15,009	7,196	7,813	2,446	1,004	1,442	2,439	1,000	1,439	7	4	3
2017	서대문구	홍은1동	23,321	11,372	11,949	4,096	1,726	2,370	4,082	1,718	2,364	14	8	6
2017	서대문구	홍은2동	30,116	14,723	15,393	4,740	2,067	2,673	4,703	2,052	2,651	37	15	22
2017	서대문구	남가좌1동	17,266	8,290	8,976	2,047	885	1,162	2,032	877	1,155	15	8	7
2017	서대문구	남가좌2동	23,238	11,231	12,007	3,824	1,580	2,244	3,809	1,572	2,237	15	8	7
2017	서대문구	북가좌1동	19,779	9,595	10,184	2,727	1,174	1,553	2,719	1,171	1,548	8	3	5
2017	서대문구	북가좌2동	34,718	16,949	17,769	5,507	2,407	3,100	5,490	2,399	3,091	17	8	9
2017	서대문구	충현동	18,768	9,152	9,616	3,077	1,301	1,776	3,071	1,299	1,772	6	2	4
2017	서대문구	북아현동	17,688	8,426	9,262	2,217	909	1,308	2,202	903	1,299	15	6	9
2017	서대문구	신촌동	23,309	9,508	13,801	2,180	924	1,256	2,152	908	1,244	28	16	12
2017	서대문구	연희동	40,828	19,667	21,161	6,053	2,578	3,475	5,877	2,493	3,384	176	85	91
2017	마포구	소계	385,783	183,248	202,535	49,615	20,806	28,809	49,356	20,677	28,679	259	129	130
2017	마포구	용강동	22,525	10,824	11,701	2,628	1,083	1,545	2,605	1,073	1,532	23	10	13
2017	마포구	대흥동	13,891	6,467	7,424	1,861	778	1,083	1,847	771	1,076	14	7	7
2017	마포구	염리동	11,388	5,384	6,004	1,694	708	986	1,684	701	983	10	7	3
2017	마포구	신수동	21,847	10,653	11,194	2,919	1,242	1,677	2,914	1,238	1,676	5	4	1
2017	마포구	서교동	26,580	12,213	14,367	3,283	1,434	1,849	3,274	1,429	1,845	9	5	4
2017	마포구	합정동	19,893	9,297	10,596	2,507	1,070	1,437	2,498	1,064	1,434	9	6	3
2017	마포구	망원1동	21,790	10,396	11,394	3,104	1,314	1,790	3,096	1,313	1,783	8	1	7
2017	마포구	망원2동	20,017	9,583	10,434	2,739	1,191	1,548	2,732	1,188	1,544	7	3	4
2017	마포구	연남동	17,803	8,380	9,423	2,410	1,002	1,408	2,332	969	1,363	78	33	45
2017	마포구	성산1동	20,609	9,785	10,824	2,701	1,174	1,527	2,688	1,165	1,523	13	9	4
2017	마포구	성산2동	40,566	19,172	21,394	5,490	2,170	3,320	5,483	2,167	3,316	7	3	4
2017	마포구	상암동	33,417	16,097	17,320	3,534	1,525	2,009	3,524	1,520	2,004	10	5	5
2017	마포구	도화동	23,087	11,019	12,068	3,424	1,445	1,979	3,413	1,441	1,972	11	4	7
2017	마포구	서강동	26,120	12,390	13,730	2,808	1,185	1,623	2,801	1,182	1,619	7	3	4
2017	마포구	공덕동	40,669	19,454	21,215	5,687	2,318	3,369	5,660	2,301	3,359	27	17	10
2017	마포구	아현동	25,581	12,134	13,447	2,826	1,167	1,659	2,805	1,155	1,650	21	12	9
2017	양천구	소계	475,018	234,279	240,739	55,234	24,641	30,593	55,136	24,585	30,551	98	56	42
2017	양천구	목1동	32,698	15,729	16,969	2,596	1,178	1,418	2,590	1,173	1,417	6	5	1
2017	양천구	목2동	31,988	15,628	16,360	3,401	1,512	1,889	3,390	1,505	1,885	11	7	4
2017	양천구	목3동	22,212	10,772	11,440	2,705	1,158	1,547	2,696	1,155	1,541	9	3	6
2017	양천구	목4동	27,596	13,647	13,949	2,760	1,177	1,583	2,755	1,174	1,581	5	3	2
2017	양천구	신월1동	22,927	11,781	11,146	3,416	1,557	1,859	3,413	1,556	1,857	3	1	2
2017	양천구	신월2동	23,280	11,482	11,798	3,279	1,495	1,784	3,275	1,493	1,782	4	2	2
2017	양천구	신월3동	17,649	9,252	8,397	2,569	1,154	1,415	2,565	1,153	1,412	4	1	3
